Category,Tag,Repository,Stars,Language,Link,Description (EN),Description (RU)
ROBOTICS,robot,robotgo,10669,Go,https://github.com/go-vgo/robotgo,"RobotGo, Go Native cross-platform RPA, GUI automation, Auto test and Computer use  @vcaesar","RobotGo, кроссплатформенный RPA Go Native, автоматизация графического пользовательского интерфейса, автоматическое тестирование и использование компьютера @vcaesar"
ROBOTICS,robotics,rerun,10478,Rust,https://github.com/rerun-io/rerun,"An open source SDK for logging, storing, querying, and visualizing multimodal and multi-rate data","SDK с открытым исходным кодом для регистрации, хранения, запроса и визуализации мультимодальных и многоскоростных данных."
UAV,uav,gobot,9392,Go,https://github.com/hybridgroup/gobot,"Golang framework for robotics, drones, and the Internet of Things (IoT)","Фреймворк Golang для робототехники, дронов и Интернета вещей (IoT)"
ROBOTICS,robotics,open-source-rover,9229,Prolog,https://github.com/nasa-jpl/open-source-rover,"A build-it-yourself, 6-wheel rover based on the rovers on Mars!","Шестиколесный марсоход, сделанный своими руками на основе марсоходов!"
LOW_LEVEL,embedded,embassy,9020,Rust,https://github.com/embassy-rs/embassy,"Modern embedded framework, using Rust and async.","Современный встроенный фреймворк, использующий Rust и async."
LOW_LEVEL,embedded,platformio-core,8983,Python,https://github.com/platformio/platformio-core,Your Gateway to Embedded Software Development Excellence :alien:,Ваш путь к совершенству в разработке встроенного программного обеспечения :alien:
LOW_LEVEL,embedded,jetson-inference,8794,C++,https://github.com/dusty-nv/jetson-inference,Hello AI World guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA Jetson.,Руководство Hello AI World по развертыванию сетей вывода глубокого обучения и примитивов глубокого видения с помощью TensorRT и NVIDIA Jetson.
ROBOTICS,slam,Deep-Learning-Interview-Book,8783,Multi,https://github.com/amusi/Deep-Learning-Interview-Book,深度学习面试宝典（含数学、机器学习、深度学习、计算机视觉、自然语言处理和SLAM等方向）,"Руководство по собеседованию по глубокому обучению (включая математику, машинное обучение, глубокое обучение, компьютерное зрение, обработку естественного языка, SLAM и т. д.)"
LOW_LEVEL,kernel,windows-kernel-exploits,8626,C,https://github.com/SecWiki/windows-kernel-exploits,windows-kernel-exploits   Windows平台提权漏洞集合,"windows-kernel-exploits Коллекция уязвимостей платформы Windows, связанных с повышением привилегий"
ROBOTICS,robot,MVision,8611,C++,https://github.com/Ewenwan/MVision,机器人视觉 移动机器人 VS-SLAM ORB-SLAM2 深度学习目标检测 yolov3 行为检测 opencv  PCL 机器学习 无人驾驶,Robot Vision Мобильный робот VS-SLAM ORB-SLAM2 Глубокое обучение Обнаружение целей yolov3 Обнаружение поведения opencv PCL Машинное обучение Беспилотное вождение
LOW_LEVEL,kernel,winfsp,8463,C,https://github.com/winfsp/winfsp,Windows File System Proxy - FUSE for Windows,Прокси-сервер файловой системы Windows — FUSE для Windows
LOW_LEVEL,kernel,lkmpg,8376,TeX,https://github.com/sysprog21/lkmpg,The Linux Kernel Module Programming Guide (updated for 5.0+ kernels),Руководство по программированию модуля ядра Linux (обновлено для ядер версии 5.0+)
LOW_LEVEL,embedded,Awesome-Embedded,8338,Multi,https://github.com/nhivp/Awesome-Embedded,A curated list of awesome embedded programming.,Кураторский список потрясающего встроенного программирования.
LOW_LEVEL,embedded,wasm3,7888,C,https://github.com/wasm3/wasm3,🚀 A fast WebAssembly interpreter and the most universal WASM runtime,🚀 Быстрый интерпретатор WebAssembly и самая универсальная среда выполнения WASM.
ROBOTICS,robotics,cartographer,7817,C++,https://github.com/cartographer-project/cartographer,Cartographer is a system that provides real-time simultaneous localization and mapping (SLAM) in 2D and 3D across multiple platforms and sensor configurations.,"Cartographer — это система, которая обеспечивает одновременную локализацию и картографирование (SLAM) в реальном времени в 2D и 3D на нескольких платформах и конфигурациях датчиков."
LOW_LEVEL,embedded,awesome-embedded-rust,7787,Multi,https://github.com/rust-embedded/awesome-embedded-rust,Curated list of resources for Embedded and Low-level development in the Rust programming language,Кураторский список ресурсов для встраиваемой и низкоуровневой разработки на языке программирования Rust.
LOW_LEVEL,embedded,GuiLite,7686,C++,https://github.com/idea4good/GuiLite,✔️The smallest header-only GUI library(4 KLOC) for all platforms,✔️Самая маленькая библиотека графического интерфейса только для заголовков (4 KLOC) для всех платформ.
LOW_LEVEL,kernel,linux-insides-zh,7646,Python,https://github.com/hust-open-atom-club/linux-insides-zh,Linux 内核揭秘,Представлено ядро ​​Linux
LOW_LEVEL,embedded,deskhop,7519,C,https://github.com/hrvach/deskhop,Fast Desktop Switching Device,Устройство быстрого переключения рабочего стола
LOW_LEVEL,kernel,linux_kernel_wiki,7490,Multi,https://github.com/0voice/linux_kernel_wiki,linux内核学习资料：200+经典内核文章，100+内核论文，50+内核项目，500+内核面试题，80+内核视频,"Учебные материалы по ядру Linux: более 200 классических статей по ядру, более 100 статей по ядру, более 50 проектов ядра, более 500 вопросов для интервью по ядру, более 80 видеороликов по ядру."
ROBOTICS,slam,slambook,7384,C++,https://github.com/gaoxiang12/slambook,,Нет описания.
LOW_LEVEL,kernel,APatch,7313,Kotlin,https://github.com/bmax121/APatch,The patching of Android kernel and Android system,Исправление ядра Android и системы Android
LOW_LEVEL,embedded,Paddle-Lite,7244,C++,https://github.com/PaddlePaddle/Paddle-Lite,PaddlePaddle High Performance Deep Learning Inference Engine for Mobile and Edge (飞桨高性能深度学习端侧推理引擎）,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
LOW_LEVEL,embedded,ArduinoJson,7136,C++,https://github.com/bblanchon/ArduinoJson,📟 JSON library for Arduino and embedded C++. Simple and efficient.,📟 Библиотека JSON для Arduino и встроенного C++. Просто и эффективно.
LOW_LEVEL,fpga,logisim-evolution,6951,Java,https://github.com/logisim-evolution/logisim-evolution,Digital logic design tool and simulator,Инструмент и симулятор цифровой логики
ROBOTICS,robotics,awesome-multimodal-ml,6854,Multi,https://github.com/pliang279/awesome-multimodal-ml,Reading list for research topics in multimodal machine learning,Список литературы по темам исследований в области мультимодального машинного обучения
ROBOTICS,robotics,IsaacLab,6837,Python,https://github.com/isaac-sim/IsaacLab,Unified framework for robot learning built on NVIDIA Isaac Sim,"Унифицированная платформа для обучения роботов, построенная на базе NVIDIA Isaac Sim"
LOW_LEVEL,embedded,Serial-Studio,6751,C++,https://github.com/Serial-Studio/Serial-Studio,"Open-source telemetry dashboard. Supports UART, BLE, MQTT, Modbus, CAN Bus and more. ","Панель телеметрии с открытым исходным кодом. Поддерживает UART, BLE, MQTT, Modbus, CAN Bus и многое другое."
LOW_LEVEL,embedded,tinyusb,6664,C,https://github.com/hathach/tinyusb,An open source  cross-platform USB stack for embedded system,Кроссплатформенный USB-стек с открытым исходным кодом для встраиваемых систем.
LOW_LEVEL,kernel,toaruos,6662,C,https://github.com/klange/toaruos,"A completely-from-scratch hobby operating system: bootloader, kernel, drivers, C library, and userspace including a composited graphical UI, dynamic linker, syntax-highlighting text editor, network stack, etc.","Созданная полностью с нуля операционная система для хобби: загрузчик, ядро, драйверы, библиотека C и пользовательское пространство, включая составной графический интерфейс, динамический компоновщик, текстовый редактор с подсветкой синтаксиса, сетевой стек и т. д."
LOW_LEVEL,embedded,littlefs,6549,C,https://github.com/littlefs-project/littlefs,A little fail-safe filesystem designed for microcontrollers,"Небольшая отказоустойчивая файловая система, разработанная для микроконтроллеров."
ROBOTICS,robotics,OpenMower,6440,C++,https://github.com/ClemensElflein/OpenMower,"Let's upgrade cheap off-the-shelf robotic mowers to modern, smart RTK GPS based lawn mowing robots!","Давайте модернизируем дешевые готовые роботизированные газонокосилки в современных, умных роботов-газонокосилок на базе RTK GPS!"
ROBOTICS,robot,WeChatFerry,6428,C++,https://github.com/lich0821/WeChatFerry,微信机器人，可接入DeepSeek、Gemini、ChatGPT、ChatGLM、讯飞星火、Tigerbot等大模型。微信 hook WeChat Robot Hook.,"Роботы WeChat могут быть подключены к большим моделям, таким как DeepSeek, Gemini, ChatGPT, ChatGLM, iFlytek Spark и Tigerbot. Крюк WeChat Робот-хук WeChat."
LOW_LEVEL,os,30dayMakeOS,6387,C,https://github.com/yourtion/30dayMakeOS,《30天自制操作系统》源码中文版。自己制作一个操作系统（OSASK）的过程,"Исходный код «30 дней, чтобы создать свою собственную операционную систему», китайская версия. Процесс изготовления операционной системы (ОСАСК) самостоятельно"
ROBOTICS,robotics,awesome-self-supervised-learning,6378,Multi,https://github.com/jason718/awesome-self-supervised-learning,A curated list of awesome self-supervised methods,Кураторский список потрясающих методов самоконтроля
UAV,drone,openMVG,6370,C++,https://github.com/openMVG/openMVG,open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion.,откройте библиотеку Multiple View Geometry. Основа для компьютерного 3D-видения и Structure from Motion.
ROBOTICS,robotics,awesome-robotics,6293,Multi,https://github.com/kiloreux/awesome-robotics,A list of awesome Robotics resources,Список замечательных ресурсов по робототехнике
LOW_LEVEL,embedded,tock,6271,Rust,https://github.com/tock/tock,A secure embedded operating system for microcontrollers,Безопасная встроенная операционная система для микроконтроллеров.
LOW_LEVEL,kernel,syzkaller,6116,Go,https://github.com/google/syzkaller,syzkaller is an unsupervised coverage-guided kernel fuzzer,"syzkaller — это неконтролируемый фаззер ядра, управляемый покрытием."
ROBOTICS,slam,AI-Job-Notes,6051,Multi,https://github.com/amusi/AI-Job-Notes,AI算法岗求职攻略（涵盖准备攻略、刷题指南、内推和AI公司清单等资料）,"Алгоритм ИИ. Стратегия поиска работы (охватывает стратегии подготовки, руководства по написанию вопросов, рекомендации, списки компаний ИИ и т. д.)"
LOW_LEVEL,embedded,esp32-weather-epd,6036,C,https://github.com/lmarzen/esp32-weather-epd,A low-power E-Paper weather display powered by an ESP32 microcontroller. Utilizes the OpenWeatherMap API.,"Маломощный метеорологический дисплей на электронной бумаге, работающий на базе микроконтроллера ESP32. Использует API OpenWeatherMap."
ROBOTICS,robot,node-serialport,5991,TypeScript,https://github.com/serialport/node-serialport,"Access serial ports with JavaScript. Linux, OSX and Windows. Welcome your robotic JavaScript overlords. Better yet, program them!","Доступ к последовательным портам с помощью JavaScript. Linux, OSX и Windows. Приветствуем ваших роботов-повелителей JavaScript. А еще лучше запрограммируйте их!"
ROBOTICS,robotics,ai-deadlines,5988,JavaScript,https://github.com/paperswithcode/ai-deadlines,:alarm_clock: AI conference deadline countdowns ,:alarm_lock: Обратный отсчет сроков окончания конференции ИИ
LOW_LEVEL,assembly,SASM,5956,Python,https://github.com/Dman95/SASM,"SASM - simple crossplatform IDE for NASM, MASM, GAS and FASM assembly languages","SASM — простая кроссплатформенная IDE для языков ассемблера NASM, MASM, GAS и FASM."
UAV,drone,ODM,5941,Python,https://github.com/OpenDroneMap/ODM,"A command line toolkit to generate maps, point clouds, 3D models and DEMs from drone, balloon or kite images. 📷","Набор инструментов командной строки для создания карт, облаков точек, 3D-моделей и ЦМР на основе изображений дронов, воздушных шаров или воздушных змеев. 📷"
LOW_LEVEL,embedded,wasm-micro-runtime,5875,C,https://github.com/bytecodealliance/wasm-micro-runtime,WebAssembly Micro Runtime (WAMR),Среда выполнения WebAssembly Micro (WAMR)
LOW_LEVEL,os,InterviewGuide,5836,Multi,https://github.com/forthespada/InterviewGuide,🔥🔥「InterviewGuide」是阿秀从校园->职场多年计算机自学过程的记录以及学弟学妹们计算机校招&秋招经验总结文章的汇总，包括但不限于C/C++ 、Golang、JavaScript、Vue、操作系统、数据结构、计算机网络、MySQL、Redis等学习总结，坚持学习，持续成长！,"🔥🔥 «Руководство по собеседованию» — это отчет о годах самостоятельного обучения А Сю компьютеру от кампуса до рабочего места, а также краткое изложение статей о наборе в компьютерные школы и осеннем опыте набора младших школьников, включая, помимо прочего, C/C++, Golang, JavaScript, Vue, операционные системы, структуры данных, компьютерные сети, MySQL, Redis и т. д. Краткое описание обучения, продолжайте учиться и продолжайте расти!"
UAV,px4,PlotJuggler,5800,C++,https://github.com/facontidavide/PlotJuggler,The Time Series Visualization Tool that you deserve.,"Инструмент визуализации временных рядов, который вы заслуживаете."
LOW_LEVEL,kernel,linux-network-performance-parameters,5786,Multi,https://github.com/leandromoreira/linux-network-performance-parameters,Learn where some of the network sysctl variables fit into the Linux/Kernel network flow. Translations: 🇷🇺,"Узнайте, как некоторые сетевые переменные sysctl вписываются в сетевой поток Linux/Kernel. Переводы: 🇷🇺"
LOW_LEVEL,os,RIOT,5709,C,https://github.com/RIOT-OS/RIOT,RIOT -  The friendly OS for IoT,RIOT — Дружественная ОС для Интернета вещей
LOW_LEVEL,os,WASI,5593,Rust,https://github.com/WebAssembly/WASI,WebAssembly System Interface,Системный интерфейс WebAssembly
LOW_LEVEL,kernel,linux-kernel-exploits,5591,C,https://github.com/SecWiki/linux-kernel-exploits,linux-kernel-exploits Linux平台提权漏洞集合,linux-kernel-exploits Коллекция уязвимостей повышения привилегий платформы Linux
ROBOTICS,robot,openwechat,5484,Go,https://github.com/eatmoreapple/openwechat,golang微信SDK,голанг WeChat SDK
LOW_LEVEL,os,seL4,5403,C,https://github.com/seL4/seL4,The seL4 microkernel,Микроядро seL4
LOW_LEVEL,fpga,FPGA,5352,Multi,https://github.com/LeiWang1999/FPGA,帮助大家进行FPGA的入门，分享FPGA相关的优秀文章，优秀项目,"Помогите всем начать работу с FPGA и поделитесь отличными статьями и проектами, связанными с FPGA."
LOW_LEVEL,embedded,nanopb,5291,C,https://github.com/nanopb/nanopb,Protocol Buffers with small code size,Буферы протоколов с небольшим размером кода
LOW_LEVEL,kernel,build-linux,5268,Shell,https://github.com/MichielDerhaeg/build-linux,A short tutorial about building Linux based operating systems.,Краткое руководство по созданию операционных систем на базе Linux.
LOW_LEVEL,embedded,rhai,5257,Rust,https://github.com/rhaiscript/rhai,Rhai - An embedded scripting language for Rust.,Rhai — встроенный язык сценариев для Rust.
