Дата,Категория,Имя Инструмента,Архитектура (Технологии),Описание Применения
2026-04-05 11:11:31,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,THE-BOOK-OF-SECRET-KNOWLEDGE + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [THE-BOOK-OF-SECRET-KNOWLEDGE] + [WHISPER].
2026-04-05 11:11:31,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,OPEN-WEBUI + GITHUB-CHINESE-TOP-CHARTS,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [OPEN-WEBUI] + [GITHUB-CHINESE-TOP-CHARTS]."
2026-04-05 11:11:31,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + LARAVEL,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [LARAVEL].
2026-04-05 11:12:33,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,FREE-FOR-DEV + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [FREE-FOR-DEV] + [WHISPER].
2026-04-05 11:12:33,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,MARKITDOWN + ELECTRON,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [MARKITDOWN] + [ELECTRON]."
2026-04-05 11:12:33,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + CLAW-CODE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [CLAW-CODE].
2026-04-05 11:13:35,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,NVM + CS-VIDEO-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [NVM] + [CS-VIDEO-COURSES].
2026-04-05 11:13:35,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,CS-VIDEO-COURSES + EVERYTHING-CLAUDE-CODE,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [CS-VIDEO-COURSES] + [EVERYTHING-CLAUDE-CODE]."
2026-04-05 11:13:35,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + ELECTRON,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [ELECTRON].
2026-04-05 11:14:37,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,UV + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [UV] + [PAPERS-WE-LOVE].
2026-04-05 11:14:37,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,SKILLS + UI,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [SKILLS] + [UI]."
2026-04-05 11:14:37,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + VUE-ELEMENT-ADMIN,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [VUE-ELEMENT-ADMIN].
2026-04-05 11:15:39,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,CORE + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [CORE] + [WHISPER].
2026-04-05 11:15:39,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,AWESOME-SELFHOSTED + THEFUCK,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [AWESOME-SELFHOSTED] + [THEFUCK]."
2026-04-05 11:15:39,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + BUILD-YOUR-OWN-X,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [BUILD-YOUR-OWN-X].
2026-04-05 11:16:40,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,PUBLIC-APIS + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [PUBLIC-APIS] + [PAPERS-WE-LOVE].
2026-04-05 11:16:40,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,MERMAID + ADVANCED-JAVA,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [MERMAID] + [ADVANCED-JAVA]."
2026-04-05 11:16:40,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + CLAW-CODE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [CLAW-CODE].
2026-04-05 11:17:42,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,GO + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [GO] + [WHISPER].
2026-04-05 11:17:42,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,BROWSER-USE + JAVASCRIPT,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [BROWSER-USE] + [JAVASCRIPT]."
2026-04-05 11:17:42,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + BUILD-YOUR-OWN-X,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [BUILD-YOUR-OWN-X].
2026-04-05 11:18:44,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,CREATE-REACT-APP + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [CREATE-REACT-APP] + [WHISPER].
2026-04-05 11:18:44,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,ANGULAR + BITCOIN,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [ANGULAR] + [BITCOIN]."
2026-04-05 11:18:44,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + ELECTRON,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [ELECTRON].
2026-04-05 11:19:46,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,MERMAID + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [MERMAID] + [WHISPER].
2026-04-05 11:19:46,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,MATERIAL-UI + RAGFLOW,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [MATERIAL-UI] + [RAGFLOW]."
2026-04-05 11:19:46,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + BOOTSTRAP,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [BOOTSTRAP].
2026-04-05 11:20:47,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,CREATE-REACT-APP + CS-VIDEO-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [CREATE-REACT-APP] + [CS-VIDEO-COURSES].
2026-04-05 11:20:47,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,ANGULAR + IMMICH,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [ANGULAR] + [IMMICH]."
2026-04-05 11:20:47,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + CLAW-CODE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [CLAW-CODE].
2026-04-05 11:21:49,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,ELECTRON + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [ELECTRON] + [PAPERS-WE-LOVE].
2026-04-05 11:21:49,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,UV + BOOTSTRAP,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [UV] + [BOOTSTRAP]."
2026-04-05 11:21:49,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + CLAUDE-CODE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [CLAUDE-CODE].
2026-04-05 11:22:51,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,AWESOME-PYTHON + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [AWESOME-PYTHON] + [PAPERS-WE-LOVE].
2026-04-05 11:22:51,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,WINDOWS-DOCKER + MATERIAL-UI,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [WINDOWS-DOCKER] + [MATERIAL-UI]."
2026-04-05 11:22:51,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + UI,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [UI].
2026-04-05 11:23:53,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,D3 + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [D3] + [PAPERS-WE-LOVE].
2026-04-05 11:23:53,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,D3 + TAURI,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [D3] + [TAURI]."
2026-04-05 11:23:53,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + FONT-AWESOME,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [FONT-AWESOME].
2026-04-05 11:24:55,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,ANT-DESIGN + CS-VIDEO-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [ANT-DESIGN] + [CS-VIDEO-COURSES].
2026-04-05 11:24:55,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,FZF + REALWORLD,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [FZF] + [REALWORLD]."
2026-04-05 11:24:55,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + CLAW-CODE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [CLAW-CODE].
2026-04-05 11:25:57,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,FREE-PROGRAMMING-BOOKS-ZH_CN + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [FREE-PROGRAMMING-BOOKS-ZH_CN] + [WHISPER].
2026-04-05 11:25:57,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,SYNCTHING + ELECTRON,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [SYNCTHING] + [ELECTRON]."
2026-04-05 11:25:57,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + JAVASCRIPT,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [JAVASCRIPT].
2026-04-05 11:26:59,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,LLM-COURSE + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [LLM-COURSE] + [WHISPER].
2026-04-05 11:26:59,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,AWESOME-SELFHOSTED + PAPERS-WE-LOVE,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [AWESOME-SELFHOSTED] + [PAPERS-WE-LOVE]."
2026-04-05 11:26:59,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + IMMICH,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [IMMICH].
2026-04-05 11:28:01,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,DEEPSEEK-R1 + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [DEEPSEEK-R1] + [WHISPER].
2026-04-05 11:28:01,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,FONT-AWESOME + AWESOME-INTERVIEW-QUESTIONS,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [FONT-AWESOME] + [AWESOME-INTERVIEW-QUESTIONS]."
2026-04-05 11:28:01,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + UV,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [UV].
2026-04-05 11:29:03,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,FREE-FOR-DEV + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [FREE-FOR-DEV] + [WHISPER].
2026-04-05 11:29:03,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,NODE + IMMICH,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [NODE] + [IMMICH]."
2026-04-05 11:29:03,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + RAGFLOW,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [RAGFLOW].
2026-04-05 11:30:04,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,VUE + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [VUE] + [PAPERS-WE-LOVE].
